index,rssi
999,-60.0
999,-60.0
999,-58.0
999,-57.0
999,-57.0
999,-59.0
999,-60.0
999,-60.0
999,-59.0
999,-59.0
999,-58.0
999,-62.0
999,-62.0
999,-56.0
999,-57.0
999,-57.0
999,-58.0
999,-60.0
999,-58.0
999,-58.0
999,-62.0
999,-61.0
999,-64.0
999,-62.0
999,-61.0
999,-58.0
999,-61.0
999,-58.0
999,-58.0
999,-59.0
999,-66.0
999,-65.0
999,-64.0
999,-66.0
999,-58.0
999,-56.0
999,-59.0
999,-58.0
999,-60.0
999,-62.0
999,-62.0
999,-60.0
999,-60.0
999,-59.0
999,-61.0
999,-60.0
999,-57.0
999,-57.0
999,-59.0
999,-60.0
999,-58.0
999,-59.0
999,-58.0
999,-61.0
999,-62.0
999,-62.0
999,-58.0
999,-59.0
999,-58.0
999,-60.0
999,-60.0
999,-58.0
999,-59.0
999,-60.0
999,-60.0
999,-56.0
999,-56.0
999,-60.0
999,-60.0
999,-60.0
999,-61.0
999,-58.0
999,-57.0
999,-58.0
999,-56.0
999,-57.0
999,-58.0
999,-57.0
999,-66.0
999,-66.0
999,-66.0
999,-64.0
999,-58.0
999,-58.0
999,-57.0
999,-57.0
999,-57.0
999,-57.0
999,-62.0
999,-61.0
999,-62.0
999,-63.0
999,-59.0
999,-58.0
999,-61.0
999,-58.0
999,-60.0
999,-60.0
999,-58.0
999,-62.0
999,-61.0
999,-64.0
999,-54.0
999,-54.0
999,-55.0
999,-58.0
999,-60.0
999,-58.0
999,-61.0
999,-59.0
999,-60.0
999,-58.0
999,-55.0
999,-54.0
999,-54.0
999,-55.0
999,-59.0
999,-60.0
999,-60.0
999,-56.0
999,-54.0
999,-56.0
999,-53.0
999,-58.0
999,-59.0
999,-58.0
999,-62.0
999,-59.0
999,-60.0
999,-54.0
999,-56.0
999,-54.0
999,-57.0
999,-58.0
999,-58.0
999,-62.0
999,-63.0
999,-60.0
999,-62.0
999,-55.0
999,-54.0
999,-56.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-62.0
999,-62.0
999,-61.0
999,-61.0
999,-57.0
999,-57.0
999,-59.0
999,-57.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-62.0
999,-60.0
999,-58.0
999,-57.0
999,-59.0
999,-60.0
999,-59.0
999,-59.0
999,-58.0
999,-63.0
999,-62.0
999,-60.0
999,-64.0
999,-56.0
999,-59.0
999,-58.0
999,-60.0
999,-63.0
999,-60.0
999,-56.0
999,-57.0
999,-55.0
999,-55.0
999,-58.0
999,-58.0
999,-59.0
999,-60.0
999,-58.0
999,-60.0
999,-57.0
999,-57.0
999,-56.0
999,-58.0
999,-58.0
999,-63.0
999,-63.0
999,-62.0
999,-62.0
999,-56.0
999,-58.0
999,-56.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-61.0
999,-64.0
999,-60.0
999,-62.0
999,-56.0
999,-56.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-64.0
999,-60.0
999,-63.0
999,-65.0
999,-56.0
999,-56.0
999,-58.0
999,-58.0
999,-58.0
999,-63.0
999,-62.0
999,-55.0
999,-55.0
999,-59.0
999,-58.0
999,-57.0
999,-56.0
999,-57.0
999,-56.0
999,-56.0
999,-58.0
999,-58.0
999,-58.0
999,-57.0
999,-59.0
999,-57.0
999,-57.0
999,-56.0
999,-56.0
999,-58.0
999,-59.0
999,-59.0
999,-59.0
999,-59.0
999,-58.0
999,-60.0
999,-58.0
999,-57.0
999,-56.0
999,-57.0
999,-57.0
999,-58.0
999,-58.0
999,-58.0
999,-60.0
999,-60.0
999,-60.0
999,-58.0
999,-56.0
999,-58.0
999,-56.0
999,-58.0
999,-58.0
999,-57.0
999,-60.0
999,-60.0
999,-61.0
999,-59.0
999,-60.0
999,-56.0
999,-57.0
999,-55.0
999,-57.0
999,-57.0
999,-58.0
999,-61.0
999,-61.0
999,-60.0
999,-57.0
999,-57.0
999,-55.0
999,-58.0
999,-57.0
999,-57.0
999,-59.0
999,-54.0
999,-54.0
999,-57.0
999,-58.0
999,-59.0
999,-60.0
999,-58.0
999,-60.0
999,-56.0
999,-60.0
999,-60.0
999,-60.0
999,-63.0
999,-58.0
999,-58.0
999,-60.0
999,-59.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-60.0
999,-57.0
999,-57.0
999,-57.0
999,-56.0
999,-58.0
999,-57.0
999,-57.0
999,-60.0
999,-56.0
